PostAWP1,2,9,55,144
Too Heavy,2,9,55,144
X-genesis,2,9,43,144
BokChoys,2,9,39,155
Exploit,2,10,82,170
SBT Academy,2,10,81,160
Ulfhednar eSports,2,10,72,167
Peaked at Silver,2,10,70,172
Meese,2,10,66,164
Salty Gang,2,10,58,175
CunningStunts,2,10,57,160
Team Despair,2,10,57,160
Authenticity,2,10,50,160
Crayon Eaters,2,10,50,178
WeBlack,2,10,47,160
Dzeph-Esports,2,10,45,160
Dynasty Academy,2,11,52,176
BigDickBrigade,1,4,33,64
5 venezuelan awpers,1,5,47,85
Naffix,1,5,25,85
EauxP,1,5,19,84
_6sinners,1,5,18,92
SIGS,1,5,17,87
Beatdown BLVD,1,6,44,96
TheMemeTeamDreamTeam,1,6,16,96
Heavens Gate,1,7,55,114
Legendary Gaming Legion,1,7,32,127
ApolloEsportS,1,7,21,112
Grease Gaming,1,7,18,112
Obsolete-,1,7,18,112
out of office,1,7,16,112
Meraki 2,1,7,16,112
MrStealYourWin,1,7,16,119
DEAD9876,1,9,68,144
Made in Heaven,1,9,60,144
Straw Hat Crew,1,9,41,144
Daddys got a twinkle,1,9,39,149
Omnitrix Gang,1,9,33,148
Drag0n Energy,1,9,28,154
Pursuit Gaming,1,9,24,144
Washed up and Bad,1,9,23,144
Solstice eSports,1,9,23,144
The Crooks Esports,1,9,20,144
ERUPTION,1,9,17,144
Highway Of Heroes,1,9,17,144
Extraordinary Birds,1,9,17,144
Crisp Clean gLocks,1,10,60,160
3N3MY,1,10,38,160
Illuminate,1,11,52,176
Knights Academy,1,11,44,176
-Void E-Sports-,1,11,44,187
PewPewGaming,1,11,43,184
suck my kock,1,11,43,190
NightlyGG,1,11,36,176
ExcidiumCS,1,11,34,176
LBHgaming,1,11,33,176
Ethan Money Crew,1,11,33,178
Instant Shock Open,1,11,28,176
Split Decision eSports,0,6,25,96
Club Penguin Crew,0,6,24,96
Rich Gaming,0,6,18,96
Masons Prime 5,0,6,17,96
Cosmic,0,6,8,96
Resolute Main,0,6,2,96
so Gone,0,6,0,96
Buddha Blasters,0,6,0,96
Hustle_N_Flo,0,6,0,96
DisparityCS,0,6,0,96
ProdigyGaming,0,6,0,96
Late Game KINGS,0,6,0,96
asuy7gh8daysuhda,0,6,0,96
AvAlanche Meme team,0,6,0,96
InsanityCS,0,7,49,112
Two Grams,0,8,25,128
